x0000,y0000
3.814,0.
4.206,0.
4.598,0.
4.99,0.
5.382,0.
5.774,0.
6.166,0.
6.558,0.
6.95,0.
7.342,0.
7.734,0.
8.126,0.
8.518,0.
8.91,0.
9.302,0.
9.694,0.
10.086,0.
10.921,1.
11.314,2.
11.709,3.
12.104,4.
12.499,6.
12.894,7.
13.29,8.
13.686,9.
14.083,11.
14.481,12.
14.879,13.
15.277,14.
15.675,16.
16.073,17.
16.471,18.
16.869,19.
17.267,21.
17.665,22.
18.063,23.
18.461,24.
18.86,26.
19.259,27.
19.659,28.
20.059,30.
20.459,31.
20.859,32.
21.258,33.
21.657,35.
22.056,36.
22.454,37.
22.852,38.
23.25,40.
23.648,41.
24.046,42.
24.444,43.
24.842,45.
25.24,46.
25.637,47.
26.034,49.
26.431,50.
26.828,51.
27.225,52.
27.622,54.
28.019,55.
28.416,56.
28.813,57.
29.21,59.
29.607,60.
30.004,61.
30.401,62.
30.797,64.
31.193,65.
31.589,66.
31.985,67.
32.381,69.
32.777,70.
33.172,71.
33.567,72.
33.962,74.
34.357,75.
34.752,76.
35.147,77.
35.542,79.
35.937,80.
36.332,81.
36.727,82.
37.122,84.
37.517,85.
37.912,86.
38.307,88.
38.702,89.
39.097,90.
39.492,91.
39.887,93.
40.282,94.
40.676,0.
41.071,1.
41.616,3.
42.011,4.
42.607,0.
43.002,0.
43.395,0.
43.788,0.
44.182,0.
44.575,0.
44.968,0.
45.362,0.
45.755,0.
46.148,0.
46.542,0.
46.935,0.
47.328,0.
47.722,0.
48.115,0.
48.508,0.
48.902,0.
49.295,0.
49.688,0.
50.082,0.
50.475,0.
50.868,0.
51.262,0.
51.655,0.
52.048,0.
52.442,0.
52.835,0.
53.228,0.
53.622,0.
54.015,0.
54.408,0.
54.802,0.
55.195,0.
55.588,0.
55.982,0.
56.375,0.
56.768,0.
57.162,0.
57.555,0.
57.948,0.
58.342,0.
58.735,0.
59.128,0.
59.522,0.
59.915,0.
60.308,0.
60.702,0.
61.095,0.
61.488,0.
61.882,0.
62.275,0.
62.668,0.
63.062,0.
63.455,0.
63.848,0.
64.242,0.
64.635,0.
65.028,0.
65.422,0.
65.815,0.
66.208,0.
66.602,0.
66.995,0.
67.388,0.
67.782,0.
68.175,0.
68.568,0.
68.962,0.
69.355,0.
69.748,0.
70.142,0.
70.535,0.
70.928,0.
71.322,0.
71.715,0.
72.108,0.
72.502,0.
72.895,0.
73.288,0.
73.682,0.
74.075,0.
74.468,0.
74.862,0.
75.255,0.
75.648,0.
76.042,0.
76.435,0.
76.828,0.
77.222,0.
77.615,0.
78.008,0.
78.402,0.
78.795,0.
79.188,0.
79.582,0.
79.975,0.
80.368,0.
80.762,0.
81.155,0.
81.548,0.
81.942,0.
82.335,0.
82.728,0.
83.122,0.
83.515,0.
83.908,0.
84.302,0.
84.695,0.
85.088,0.
85.482,0.
85.875,0.
86.268,0.
86.662,0.
87.055,0.
87.448,0.
87.842,0.
88.235,0.
88.628,0.
89.022,0.
89.415,0.
89.808,0.
90.202,0.
90.595,0.
90.988,0.
91.566,27.1
91.963,36.5
92.361,29.5
92.76,29.5
93.159,38.
93.557,28.6
93.956,36.5
94.355,23.8
94.754,29.5
95.154,38.
95.553,30.1
95.952,26.8
96.351,30.3
96.75,28.8
97.149,39.5
97.547,28.6
97.946,27.1
98.345,28.7
98.744,38.
99.143,28.8
99.542,36.5
99.941,27.3
100.34,28.8
100.74,35.8
101.14,28.8
101.54,27.5
101.94,27.5
102.34,27.9
102.74,28.9
103.14,28.9
103.54,29.4
103.94,27.5
104.34,26.4
104.74,29.8
105.14,30.4
105.54,30.1
105.94,27.9
106.34,29.1
106.741,29.4
107.142,29.4
107.543,29.4
107.944,29.4
108.345,29.4
108.746,29.4
109.147,29.4
109.548,29.4
109.949,29.4
110.35,29.4
110.751,29.4
111.152,29.4
111.553,29.4
111.954,29.4
112.355,29.4
112.756,29.4
113.157,29.4
113.558,29.4
113.959,29.4
114.36,29.4
114.761,29.4
115.162,29.4
115.563,29.4
115.964,29.4
116.365,29.4
116.766,29.4
117.167,29.4
117.568,29.4
117.969,29.4
118.37,29.4
118.771,29.4
119.172,29.4
119.573,29.4
119.974,29.4
120.375,29.4
120.776,29.4
121.177,29.4
121.578,29.4
121.979,29.4
122.38,29.4
122.781,29.4
123.182,29.4
123.583,29.4
123.984,29.4
124.385,29.4
124.786,29.4
125.187,29.4
125.588,29.4
125.989,29.4
126.39,29.4
126.791,29.4
127.192,29.4
127.593,29.4
127.993,29.4
128.393,29.4
128.793,29.4
129.193,29.4
129.593,29.4
129.993,29.4
130.393,29.4
130.793,29.4
131.193,29.4
131.593,29.4
131.993,29.4
132.393,29.4
132.793,29.4
133.193,29.4
133.593,29.4
133.993,29.4
134.393,29.4
134.793,29.4
135.193,29.4
135.593,29.4
135.993,29.4
