Pola,Run_Source,GMPP_Target_W,Algorithm,t_track_s,p_avg_W,Eff_pct,Ripple_W
Pola 1,Run 1,122.3,WODE,1.0930000000000177,122.94068965517242,100.52386725688669,1.5900000000000034
Pola 1,Run 1,122.3,PNO,0.45300000000000296,122.06413793103448,99.80714466969296,2.6599999999999966
Pola 1,Run 1,122.3,WOA,2.007000000000005,108.89068965517242,89.03572334846478,59.00000000000001
Pola 1,Run 1,122.3,DE,0.0,122.8651724137931,100.46211971691996,1.8100000000000023
Pola 2,Run 3,44.66,WODE,0.14400000000000546,78.69896551724138,176.21801504084502,9.510000000000005
Pola 2,Run 3,44.66,PNO,0.14400000000000546,97.99827586206894,219.43187609061562,1.7299999999999898
Pola 2,Run 3,44.66,WOA,0.16300000000001091,88.66066666666664,198.52366024779815,43.21
Pola 2,Run 3,44.66,DE,0.14400000000000546,98.09724137931033,219.65347375573296,1.0300000000000011
Pola 3,Run 4,126.13,WODE,0.9879999999999995,126.69310344827589,100.44644687883604,1.4099999999999966
Pola 3,Run 4,126.13,PNO,0.7630000000000052,125.22862068965517,99.28535692512105,7.449999999999989
Pola 3,Run 4,126.13,WOA,2.2609999999999957,112.38733333333336,89.1043632231296,79.14
Pola 3,Run 4,126.13,DE,0.0,127.01,100.69769285657655,1.3299999999999983
Pola 4,Run 5,97.57,WODE,1.2339999999999236,98.72344827586208,101.18217513155898,1.0700000000000074
Pola 4,Run 5,97.57,PNO,0.0,98.12551724137933,100.5693525073069,1.6200000000000045
Pola 4,Run 5,97.57,WOA,2.3009999999999877,96.84785714285714,99.2598720332655,2.260000000000005
Pola 4,Run 5,97.57,DE,2.777999999999963,96.73766666666667,99.14693724163848,1.9399999999999977
