Algorithm,Target_GMPP_W,Average_Power_W,Tracking_Efficiency_Pct,Power_Ripple_P-P_W,Tracking_Time_95pct_s
M1: Standard INC,142.53,134.42,94.31,28.11,27.28
M2: INC-Fuzzy,142.53,141.3,99.14,4.43,16.51
