# Time(s)	Duty_Cycle(D)
2.6380	0.1502
2.6490	0.1502
2.6600	0.1502
2.6711	0.1502
2.6821	0.1502
2.6932	0.1502
2.7042	0.1502
2.7152	0.1502
2.7263	0.1502
2.7373	0.1502
2.7483	0.1502
2.7594	0.1502
2.7704	0.1502
2.7815	0.1502
2.7925	0.1502
2.8035	0.1502
2.8146	0.1502
2.8256	0.1502
2.8366	0.1502
2.8477	0.1502
2.8587	0.1502
2.8698	0.1502
2.8808	0.1502
2.8918	0.1502
2.9029	0.1502
2.9139	0.1502
2.9249	0.1502
2.9360	0.1502
2.9470	0.1502
2.9581	0.1502
2.9691	0.1502
2.9801	0.1502
2.9912	0.1502
3.0022	0.1502
3.0132	0.1502
3.0243	0.1502
3.0353	0.1502
3.0464	0.1502
3.0574	0.1502
3.0684	0.1502
3.0795	0.1502
3.0905	0.1502
3.1015	0.1502
3.1126	0.1502
3.1236	0.1502
3.1347	0.1502
3.1457	0.1502
3.1567	0.1502
3.1678	0.1502
3.1788	0.1502
3.1898	0.1502
3.2009	0.1502
3.2119	0.1502
3.2230	0.1502
3.2340	0.1502
3.2450	0.1502
3.2561	0.1502
3.2671	0.1502
3.2781	0.1502
3.2892	0.1502
3.3002	0.1502
3.3113	0.1502
3.3223	0.1502
3.3333	0.1502
3.3444	0.1502
3.3554	0.1502
3.3664	0.1502
3.3775	0.1502
3.3885	0.1502
3.3996	0.1502
3.4106	0.1502
3.4216	0.1502
3.4327	0.1502
3.4437	0.1502
3.4547	0.1502
3.4658	0.1502
3.4768	0.1502
3.4879	0.1502
3.4989	0.1502
3.5099	0.1502
3.5210	0.1502
3.5320	0.1502
3.5430	0.1502
3.5541	0.1502
3.5651	0.1502
3.5762	0.1502
3.5872	0.1502
3.5982	0.1502
3.6093	0.1502
3.6203	0.1502
3.6313	0.1502
3.6424	0.1502
3.6534	0.1502
3.6645	0.1502
3.6755	0.1502
3.6865	0.1502
3.6976	0.1502
3.7086	0.1502
3.7196	0.1502
3.7307	0.1502
3.7417	0.1502
3.7528	0.1502
3.7638	0.1502
3.7748	0.1502
3.7859	0.1502
3.7969	0.1502
3.8079	0.1502
3.8190	0.1502
3.8300	0.1502
3.8411	0.1502
3.8521	0.1502
3.8631	0.1502
3.8742	0.1502
3.8852	0.1502
3.8962	0.1502
3.9073	0.1502
3.9183	0.1502
3.9294	0.1502
3.9404	0.1502
3.9514	0.1502
3.9625	0.1502
3.9735	0.1502
3.9845	0.1497
3.9900	0.1577
3.9956	0.1497
4.0010	0.3912
4.0066	0.5000
4.0120	0.1697
4.0177	0.1697
4.0231	0.5000
4.0287	0.4800
4.0341	0.1707
4.0397	0.2804
4.0451	0.4800
4.0508	0.4611
4.0562	0.2794
4.0618	0.2794
4.0672	0.4601
4.0728	0.4401
4.0783	0.2804
4.0839	0.2605
4.0893	0.4202
4.0949	0.3812
4.1003	0.2595
4.1060	0.2994
4.1114	0.3802
4.1170	0.3792
4.1224	0.3004
4.1280	0.2994
4.1334	0.3593
4.1391	0.3403
4.1445	0.2794
4.1501	0.2794
4.1555	0.3204
4.1611	0.3204
4.1666	0.2605
4.1722	0.2804
4.1776	0.2206
4.1832	0.1996
4.1886	0.2605
4.1943	0.2206
4.1997	0.1926
4.2053	0.1816
4.2107	0.2206
4.2163	0.2006
4.2217	0.1816
4.2274	0.2006
4.2328	0.1627
4.2384	0.1617
4.2438	0.1906
4.2494	0.1806
4.2549	0.1617
4.2605	0.1637
4.2659	0.1796
4.2715	0.1632
4.2826	0.1647
4.2880	0.1437
4.2936	0.1417
4.2990	0.1557
4.3046	0.1547
4.3100	0.1417
4.3157	0.1467
4.3211	0.1537
4.3267	0.1527
4.3321	0.1457
4.3377	0.1492
4.3488	0.1492
4.3598	0.1492
4.3652	0.1492
4.3709	0.1492
4.3763	0.1492
4.3819	0.1492
4.3873	0.1492
4.3929	0.1492
4.3983	0.1492
4.4040	0.1492
4.4094	0.1492
4.4150	0.1492
4.4204	0.1492
4.4260	0.1492
4.4315	0.1492
4.4371	0.1492
4.4425	0.1492
4.4481	0.1492
4.4535	0.1492
4.4592	0.1492
4.4646	0.1492
4.4702	0.1492
4.4756	0.1492
4.4812	0.1492
4.4866	0.1492
4.4923	0.1492
4.4977	0.1492
4.5033	0.1492
4.5087	0.1492
4.5143	0.1492
4.5198	0.1492
4.5254	0.1492
4.5308	0.1492
4.5364	0.1492
4.5418	0.1492
4.5475	0.1492
4.5529	0.1492
4.5585	0.1492
4.5639	0.1492
4.5695	0.1492
4.5749	0.1492
4.5806	0.1492
4.5860	0.1492
4.5916	0.1492
4.5970	0.1492
4.6026	0.1492
4.6081	0.1492
4.6137	0.1492
4.6191	0.1492
4.6247	0.1492
4.6301	0.1492
4.6358	0.1492
4.6412	0.1492
4.6468	0.1492
4.6522	0.1492
4.6578	0.1492
4.6632	0.1492
4.6689	0.1492
4.6743	0.1492
4.6799	0.1492
4.6853	0.1492
4.6909	0.1492
4.6964	0.1492
4.7020	0.1492
4.7130	0.1492
4.7241	0.1492
4.7351	0.1492
4.7461	0.1492
4.7572	0.1492
4.7682	0.1492
4.7792	0.1492
4.7903	0.1492
4.8013	0.1492
4.8124	0.1492
4.8234	0.1492
4.8344	0.1492
4.8455	0.1492
4.8565	0.1492
4.8675	0.1492
4.8786	0.1492
4.8896	0.1492
4.9007	0.1492
4.9117	0.1492
4.9227	0.1492
4.9338	0.1492
4.9448	0.1492
4.9558	0.1492
4.9669	0.1492
4.9779	0.1492
4.9890	0.1492
5.0000	0.1492
5.0110	0.1492
5.0221	0.1492
5.0331	0.1492
5.0442	0.1492
5.0552	0.1492
5.0662	0.1492
5.0773	0.1492
5.0883	0.1492
5.0993	0.1492
5.1104	0.1492
5.1214	0.1492
5.1325	0.1492
5.1435	0.1492
5.1545	0.1492
5.1656	0.1492
5.1766	0.1492
5.1876	0.1492
5.1987	0.1492
5.2097	0.1492
5.2208	0.1492
5.2318	0.1492
5.2428	0.1492
5.2539	0.1492
5.2649	0.1492
5.2759	0.1492
5.2870	0.1492
5.2980	0.1492
5.3091	0.1492
5.3201	0.1492
5.3311	0.1492
5.3422	0.1492
5.3532	0.1492
5.3642	0.1492
5.3753	0.1492
5.3863	0.1492
5.3974	0.1492
5.4084	0.1492
5.4194	0.1492
5.4305	0.1492
5.4415	0.1492
5.4525	0.1492
5.4636	0.1492
5.4746	0.1492
5.4857	0.1492
5.4967	0.1492
5.5077	0.1492
5.5188	0.1492
5.5298	0.1492
5.5408	0.1492
5.5519	0.1492
5.5629	0.1492
5.5740	0.1492
5.5850	0.1492
5.5960	0.1492
5.6071	0.1492
5.6181	0.1492
5.6291	0.1492
5.6402	0.1492
5.6512	0.1492
5.6623	0.1492
5.6733	0.1492
5.6843	0.1492
5.6954	0.1492
5.7064	0.1492
5.7174	0.1492
5.7285	0.1492
5.7395	0.1492
5.7506	0.1492
5.7616	0.1492
5.7726	0.1492
5.7837	0.1492
5.7947	0.1492
5.8057	0.1492
5.8168	0.1492
5.8278	0.1492
5.8389	0.1492
5.8499	0.1492
5.8609	0.1492
5.8720	0.1492
5.8830	0.1492
5.8940	0.1492
5.9051	0.1492
5.9161	0.1492
5.9272	0.1492
5.9382	0.1492
5.9492	0.1492
5.9603	0.1492
5.9713	0.1492
5.9823	0.1492
5.9934	0.1487
5.9988	0.3902
6.0044	0.5000
6.0098	0.1497
6.0155	0.1497
6.0209	0.5000
6.0265	0.5000
6.0319	0.1497
6.0375	0.2325
6.0429	0.4800
6.0486	0.4800
6.0540	0.2315
6.0596	0.2315
6.0650	0.4601
6.0706	0.4411
6.0760	0.2116
6.0817	0.2116
6.0871	0.4401
6.0927	0.4391
6.0981	0.1916
6.1038	0.1916
6.1092	0.4012
6.1148	0.4002
6.1202	0.1906
6.1258	0.1707
6.1312	0.3812
6.1369	0.3802
6.1423	0.1507
6.1479	0.1317
6.1533	0.3792
6.1589	0.3593
6.1643	0.1307
6.1700	0.1317
6.1754	0.3403
6.1810	0.3403
6.1864	0.1497
6.1921	0.1307
6.1975	0.1707
6.2031	0.1707
6.2085	0.1297
6.2141	0.1307
6.2195	0.1707
6.2252	0.1627
6.2306	0.1387
6.2362	0.1297
6.2416	0.1617
6.2472	0.1527
6.2526	0.1297
6.2583	0.1297
6.2637	0.1527
6.2693	0.1457
6.2747	0.1297
6.2804	0.1317
6.2858	0.1437
6.2914	0.1407
6.2968	0.1297
6.3024	0.1267
6.3078	0.1417
6.3135	0.1407
6.3189	0.1257
6.3245	0.1307
6.3355	0.1327
6.3466	0.1332
6.3576	0.1332
6.3687	0.1342
6.3797	0.1342
6.3907	0.1342
6.4018	0.1342
6.4128	0.1342
6.4238	0.1342
6.4349	0.1342
6.4459	0.1342
6.4570	0.1342
6.4680	0.1342
6.4790	0.1342
6.4901	0.1342
6.5011	0.1342
6.5121	0.1342
6.5232	0.1342
6.5342	0.1342
6.5453	0.1342
6.5563	0.1342
6.5673	0.1342
6.5784	0.1342
6.5894	0.1342
6.6004	0.1342
6.6115	0.1342
6.6225	0.1342
6.6336	0.1342
6.6446	0.1342
6.6556	0.1342
6.6667	0.1342
6.6777	0.1342
6.6887	0.1342
6.6998	0.1342
6.7108	0.1342
6.7219	0.1342
6.7329	0.1342
6.7439	0.1342
6.7550	0.1342
6.7660	0.1342
6.7770	0.1342
6.7881	0.1342
6.7991	0.1342
6.8102	0.1342
6.8212	0.1342
6.8322	0.1342
6.8433	0.1342
6.8543	0.1342
6.8653	0.1342
6.8764	0.1342
6.8874	0.1342
6.8985	0.1342
6.9095	0.1342
6.9205	0.1342
6.9316	0.1342
6.9426	0.1342
6.9536	0.1342
6.9647	0.1342
6.9757	0.1342
6.9868	0.1342
6.9978	0.1342
7.0088	0.1342
7.0199	0.1342
7.0309	0.1342
7.0419	0.1342
7.0530	0.1342
7.0640	0.1342
7.0751	0.1342
7.0861	0.1342
7.0971	0.1342
7.1082	0.1342
7.1192	0.1342
7.1302	0.1342
7.1413	0.1342
7.1523	0.1342
7.1634	0.1342
7.1744	0.1342
7.1854	0.1342
7.1965	0.1342
7.2075	0.1342
7.2185	0.1342
7.2296	0.1342
7.2406	0.1342
7.2517	0.1342
7.2627	0.1342
7.2737	0.1342
7.2848	0.1342
7.2958	0.1342
7.3068	0.1342
7.3179	0.1342
7.3289	0.1342
7.3400	0.1342
7.3510	0.1342
7.3620	0.1342
7.3731	0.1342
7.3841	0.1342
7.3951	0.1342
7.4062	0.1342
7.4172	0.1342
7.4283	0.1342
7.4393	0.1342
7.4503	0.1342
7.4614	0.1342
7.4724	0.1342
7.4834	0.1342
7.4945	0.1342
7.5055	0.1342
7.5166	0.1342
7.5276	0.1342
7.5386	0.1342
7.5497	0.1342
7.5607	0.1342
7.5717	0.1342
7.5828	0.1342
7.5938	0.1342
7.6049	0.1342
7.6159	0.1342
7.6269	0.1342
7.6380	0.1342
7.6490	0.1342
7.6600	0.1342
7.6711	0.1342
7.6821	0.1342
7.6932	0.1342
7.7042	0.1342
7.7152	0.1342
7.7263	0.1342
7.7373	0.1342
7.7483	0.1342
7.7594	0.1342
7.7704	0.1342
7.7815	0.1342
7.7925	0.1342
7.8035	0.1342
7.8146	0.1342
7.8256	0.1342
7.8366	0.1342
7.8477	0.1342
7.8587	0.1342
7.8698	0.1342
7.8808	0.1342
7.8918	0.1342
7.9029	0.1342
7.9139	0.1342
7.9249	0.1342
7.9360	0.1342
7.9470	0.1342
7.9581	0.1342
7.9691	0.1342
7.9801	0.1342
7.9912	0.1337
7.9966	0.3104
8.0022	0.1347
8.0076	0.5000
8.0132	0.5000
8.0187	0.1497
8.0243	0.1497
8.0297	0.5000
8.0353	0.4800
8.0407	0.2106
8.0464	0.2096
8.0518	0.4800
8.0574	0.4601
8.0628	0.1906
8.0684	0.1707
8.0738	0.4571
8.0795	0.4401
8.0849	0.1667
8.0905	0.1657
8.0959	0.4202
8.1015	0.4002
8.1070	0.1657
8.1126	0.1637
8.1180	0.3872
8.1236	0.3802
8.1290	0.1637
8.1347	0.1707
8.1401	0.3792
8.1457	0.1846
8.1511	0.1457
8.1567	0.1457
8.1621	0.1667
8.1678	0.1667
8.1732	0.1327
8.1788	0.1317
8.1842	0.1707
8.1898	0.1707
8.1953	0.1327
8.2009	0.1512
8.2119	0.1502
8.2230	0.1497
8.2340	0.1577
8.2394	0.1297
8.2450	0.1287
8.2504	0.1577
8.2561	0.1517
8.2615	0.1287
8.2671	0.1367
8.2725	0.1507
8.2781	0.1507
8.2836	0.1357
8.2892	0.1357
8.2946	0.1587
8.3002	0.1577
8.3056	0.1477
8.3113	0.1502
8.3223	0.1507
8.3333	0.1537
8.3387	0.1467
8.3444	0.1497
8.3554	0.1507
8.3664	0.1502
8.3775	0.1502
8.3885	0.1502
8.3996	0.1502
8.4106	0.1502
8.4216	0.1502
8.4327	0.1502
8.4437	0.1502
8.4547	0.1502
8.4658	0.1502
8.4768	0.1502
8.4879	0.1502
8.4989	0.1502
8.5099	0.1502
8.5210	0.1502
8.5320	0.1502
8.5430	0.1502
8.5541	0.1502
8.5651	0.1502
8.5762	0.1502
8.5872	0.1502
8.5982	0.1502
8.6093	0.1502
8.6203	0.1502
8.6313	0.1502
8.6424	0.1502
8.6534	0.1502
8.6645	0.1502
8.6755	0.1502
8.6865	0.1502
8.6976	0.1502
8.7086	0.1502
8.7196	0.1502
8.7307	0.1502
8.7417	0.1502
8.7528	0.1502
8.7638	0.1502
8.7748	0.1502
8.7859	0.1502
8.7969	0.1502
8.8079	0.1502
8.8190	0.1502
8.8300	0.1502
8.8411	0.1502
8.8521	0.1502
8.8631	0.1502
8.8742	0.1502
8.8852	0.1502
8.8962	0.1502
8.9073	0.1502
8.9183	0.1502
8.9294	0.1502
8.9404	0.1502
8.9514	0.1502
8.9625	0.1502
8.9735	0.1502
8.9845	0.1502
8.9956	0.1502
9.0066	0.1502
9.0177	0.1502
9.0287	0.1502
9.0397	0.1502
9.0508	0.1502
9.0618	0.1502
9.0728	0.1502
9.0839	0.1502
9.0949	0.1502
9.1060	0.1502
9.1170	0.1502
9.1280	0.1502
9.1391	0.1502
9.1501	0.1502
9.1611	0.1502
9.1722	0.1502
9.1832	0.1502
9.1943	0.1502
9.2053	0.1502
9.2163	0.1502
9.2274	0.1502
9.2384	0.1502
9.2494	0.1502
9.2605	0.1502
9.2715	0.1502
9.2826	0.1502
9.2936	0.1502
9.3046	0.1502
9.3157	0.1502
9.3267	0.1502
9.3377	0.1502
9.3488	0.1502
9.3598	0.1502
9.3709	0.1502
9.3819	0.1502
9.3929	0.1502
9.4040	0.1502
9.4150	0.1502
9.4260	0.1502
9.4371	0.1502
9.4481	0.1502
9.4592	0.1502
9.4702	0.1502
9.4812	0.1502
9.4923	0.1502
9.5033	0.1502
9.5143	0.1502
9.5254	0.1502
9.5364	0.1502
9.5475	0.1502
9.5585	0.1502
9.5695	0.1502
9.5806	0.1502
9.5916	0.1502
9.6026	0.1502
9.6137	0.1502
9.6247	0.1502
9.6358	0.1502
9.6468	0.1502
9.6578	0.1502
9.6689	0.1502
9.6799	0.1502
9.6909	0.1502
9.7020	0.1502
9.7130	0.1502
9.7241	0.1502
9.7351	0.1502
9.7461	0.1502
9.7572	0.1502
9.7682	0.1502
9.7792	0.1502
9.7903	0.1502
9.8013	0.1502
9.8124	0.1502
9.8234	0.1502
9.8344	0.1502
9.8455	0.1502
9.8565	0.1502
9.8675	0.1502
9.8786	0.1502
9.8896	0.1502
9.9007	0.1502
9.9117	0.1502
9.9227	0.1502
9.9338	0.1502
9.9448	0.1502
9.9558	0.1502
9.9669	0.1502
9.9779	0.1502
9.9890	0.1497
10.0000	0.1502
