# Time(s)	Target_GMPP(W)	M1_Standard_INC(W)	M2_INC_Fuzzy(W)
22.6300	138.49	99.26	136.28
22.7523	138.49	97.87	136.19
22.8746	138.49	97.17	136.09
22.9969	138.49	94.79	135.99
23.1193	138.49	94.79	135.79
23.2416	138.49	94.79	135.58
23.3639	138.49	94.79	135.39
23.4862	138.49	96.57	135.28
23.6086	138.49	98.56	135.09
23.7309	138.49	104.17	134.89
23.8532	138.49	109.78	134.69
23.9755	138.49	113.28	134.58
24.0979	138.49	116.77	134.49
24.2202	138.49	118.88	134.39
24.3425	138.49	121.68	134.28
24.4648	138.49	123.08	134.28
24.5872	138.49	123.78	134.28
24.7095	138.49	124.48	134.19
24.8318	138.49	125.18	134.09
24.9541	138.49	125.18	133.99
25.0765	138.49	127.99	133.88
25.1988	138.49	127.99	133.79
25.3211	138.49	129.39	133.69
25.4434	138.49	129.39	133.58
25.5657	138.49	129.39	133.58
25.6881	138.49	129.39	133.58
25.8104	138.49	128.69	133.58
25.9327	138.49	127.29	133.58
26.0550	138.49	126.59	133.58
26.1774	138.49	125.18	133.58
26.2997	138.49	125.18	133.58
26.4220	138.49	125.18	133.58
26.5443	138.49	125.88	133.58
26.6667	138.49	125.18	133.69
26.7890	138.49	125.88	133.79
26.9113	138.49	130.09	133.88
27.0336	138.49	130.78	133.99
27.1560	138.49	131.48	134.09
27.2783	138.49	132.18	134.19
27.4006	138.49	132.18	134.28
27.5229	138.49	131.48	134.28
27.6453	138.49	130.78	134.28
27.7676	138.49	130.78	134.28
27.8899	138.49	130.78	134.28
28.0122	138.49	130.09	134.28
28.1346	138.49	129.39	134.28
28.2569	138.49	126.59	134.28
28.3792	138.49	123.78	134.28
28.5015	138.49	120.98	134.28
28.6239	138.49	119.58	134.28
28.7462	138.49	118.88	134.28
28.8685	138.49	118.88	134.28
28.9908	138.49	118.88	134.28
29.1131	138.49	118.88	134.39
29.2355	138.49	122.38	134.49
29.3578	138.49	125.18	134.58
29.4801	138.49	129.39	134.69
29.6024	138.49	131.48	134.79
29.7248	138.49	131.48	134.89
29.8471	138.49	131.48	134.99
29.9694	138.49	131.48	134.99
30.0917	138.49	127.29	134.99
30.2141	138.49	125.18	134.99
30.3364	138.49	122.38	135.09
30.4587	138.49	122.38	135.19
30.5810	138.49	122.38	135.80
30.7034	138.49	122.38	136.42
30.8257	138.49	127.29	137.03
30.9480	138.49	130.78	137.64
31.0703	138.49	132.18	138.26
31.1927	138.49	132.18	138.26
31.3150	138.49	132.18	138.26
31.4373	138.49	132.18	137.74
31.5596	138.49	132.18	137.23
31.6820	138.49	128.69	136.72
31.8043	138.49	125.88	136.21
31.9266	138.49	123.78	135.69
32.0489	138.49	123.78	135.69
32.1713	138.49	123.78	135.69
32.2936	138.49	124.48	135.69
32.4159	138.49	124.48	135.69
32.5382	138.49	128.69	135.69
32.6606	138.49	131.48	135.69
32.7829	138.49	132.18	135.69
32.9052	138.49	132.18	135.69
33.0275	138.49	132.18	135.69
33.1498	138.49	132.18	135.69
33.2722	138.49	131.48	135.69
33.3945	138.49	128.69	135.69
33.5168	138.49	128.69	135.69
33.6391	138.49	128.69	135.69
33.7615	138.49	128.69	135.69
33.8838	138.49	128.69	135.79
34.0061	138.49	130.78	135.89
34.1284	138.49	132.88	135.99
34.2508	138.49	137.09	136.09
34.3731	138.49	139.29	136.19
34.4954	138.49	141.29	136.28
34.6177	138.49	141.29	136.39
34.7401	138.49	141.29	136.39
34.8624	138.49	141.29	136.39
34.9847	138.49	140.08	136.39
35.1070	138.49	136.39	136.39
35.2294	138.49	133.58	136.39
35.3517	138.49	132.18	136.39
35.4740	138.49	130.78	136.39
35.5963	138.49	130.78	136.80
35.7187	138.49	130.78	137.00
35.8410	138.49	131.48	137.21
35.9633	138.49	132.18	137.40
36.0856	138.49	134.99	137.61
36.2080	138.49	135.69	137.70
36.3303	138.49	135.69	137.70
36.4526	138.49	135.69	137.29
36.5749	138.49	135.69	137.09
36.6972	138.49	134.99	136.89
36.8196	138.49	132.88	136.69
36.9419	138.49	129.39	136.49
37.0642	138.49	127.29	136.39
37.1865	138.49	126.59	136.39
37.3089	138.49	126.59	136.39
37.4312	138.49	126.59	136.39
37.5535	138.49	127.99	136.39
37.6758	138.49	131.48	136.39
37.7982	138.49	132.88	136.39
37.9205	138.49	132.88	136.39
38.0428	138.49	132.88	136.39
38.1651	138.49	132.88	136.39
38.2875	138.49	132.88	136.39
38.4098	138.49	128.69	136.39
38.5321	138.49	127.29	136.39
38.6544	138.49	126.59	136.39
