# Time(s)	Target_GMPP(W)	Proposed_Method(W)
9.6685	175.23	175.06
9.6796	175.23	175.06
9.6906	175.23	175.06
9.7017	175.23	175.06
9.7127	175.23	175.06
9.7238	175.23	175.06
9.7348	175.23	175.06
9.7459	175.23	175.06
9.7569	175.23	175.06
9.7680	175.23	175.06
9.7790	175.23	175.06
9.7901	175.23	175.06
9.8011	175.23	175.06
9.8122	175.23	175.06
9.8232	175.23	175.06
9.8343	175.23	175.06
9.8453	175.23	175.06
9.8564	175.23	175.06
9.8674	175.23	175.06
9.8785	175.23	175.06
9.8895	175.23	175.06
9.9006	175.23	175.06
9.9116	175.23	175.06
9.9227	175.23	175.06
9.9337	175.23	175.06
9.9448	175.23	175.06
9.9558	175.23	175.06
9.9669	175.23	175.06
9.9779	175.23	175.06
9.9890	175.23	175.06
10.0000	175.23	175.06
