# Time(s)	Target_GMPP(W)	M1_Standard_INC(W)	M2_INC_Fuzzy(W)
22.6300	142.53	102.16	140.26
22.7523	142.53	100.72	140.16
22.8746	142.53	100.00	140.06
22.9969	142.53	97.56	139.96
23.1193	142.53	97.56	139.75
23.2416	142.53	97.56	139.54
23.3639	142.53	97.56	139.34
23.4862	142.53	99.39	139.23
23.6086	142.53	101.44	139.03
23.7309	142.53	107.21	138.82
23.8532	142.53	112.98	138.62
23.9755	142.53	116.58	138.51
24.0979	142.53	120.18	138.41
24.2202	142.53	122.35	138.31
24.3425	142.53	125.23	138.20
24.4648	142.53	126.67	138.20
24.5872	142.53	127.39	138.20
24.7095	142.53	128.11	138.10
24.8318	142.53	128.83	138.00
24.9541	142.53	128.83	137.90
25.0765	142.53	131.72	137.79
25.1988	142.53	131.72	137.69
25.3211	142.53	133.16	137.59
25.4434	142.53	133.16	137.48
25.5657	142.53	133.16	137.48
25.6881	142.53	133.16	137.48
25.8104	142.53	132.44	137.48
25.9327	142.53	131.00	137.48
26.0550	142.53	130.28	137.48
26.1774	142.53	128.83	137.48
26.2997	142.53	128.83	137.48
26.4220	142.53	128.83	137.48
26.5443	142.53	129.55	137.48
26.6667	142.53	128.83	137.59
26.7890	142.53	129.55	137.69
26.9113	142.53	133.88	137.79
27.0336	142.53	134.60	137.90
27.1560	142.53	135.32	138.00
27.2783	142.53	136.04	138.10
27.4006	142.53	136.04	138.20
27.5229	142.53	135.32	138.20
27.6453	142.53	134.60	138.20
27.7676	142.53	134.60	138.20
27.8899	142.53	134.60	138.20
28.0122	142.53	133.88	138.20
28.1346	142.53	133.16	138.20
28.2569	142.53	130.28	138.20
28.3792	142.53	127.39	138.20
28.5015	142.53	124.51	138.20
28.6239	142.53	123.07	138.20
28.7462	142.53	122.35	138.20
28.8685	142.53	122.35	138.20
28.9908	142.53	122.35	138.20
29.1131	142.53	122.35	138.31
29.2355	142.53	125.95	138.41
29.3578	142.53	128.83	138.51
29.4801	142.53	133.16	138.62
29.6024	142.53	135.32	138.72
29.7248	142.53	135.32	138.82
29.8471	142.53	135.32	138.93
29.9694	142.53	135.32	138.93
30.0917	142.53	131.00	138.93
30.2141	142.53	128.83	138.93
30.3364	142.53	125.95	139.03
30.4587	142.53	125.95	139.13
30.5810	142.53	125.95	139.76
30.7034	142.53	125.95	140.40
30.8257	142.53	131.00	141.03
30.9480	142.53	134.60	141.66
31.0703	142.53	136.04	142.29
31.1927	142.53	136.04	142.29
31.3150	142.53	136.04	142.29
31.4373	142.53	136.04	141.76
31.5596	142.53	136.04	141.23
31.6820	142.53	132.44	140.71
31.8043	142.53	129.55	140.18
31.9266	142.53	127.39	139.65
32.0489	142.53	127.39	139.65
32.1713	142.53	127.39	139.65
32.2936	142.53	128.11	139.65
32.4159	142.53	128.11	139.65
32.5382	142.53	132.44	139.65
32.6606	142.53	135.32	139.65
32.7829	142.53	136.04	139.65
32.9052	142.53	136.04	139.65
33.0275	142.53	136.04	139.65
33.1498	142.53	136.04	139.65
33.2722	142.53	135.32	139.65
33.3945	142.53	132.44	139.65
33.5168	142.53	132.44	139.65
33.6391	142.53	132.44	139.65
33.7615	142.53	132.44	139.65
33.8838	142.53	132.44	139.75
34.0061	142.53	134.60	139.85
34.1284	142.53	136.76	139.96
34.2508	142.53	141.09	140.06
34.3731	142.53	143.35	140.16
34.4954	142.53	145.41	140.26
34.6177	142.53	145.41	140.37
34.7401	142.53	145.41	140.37
34.8624	142.53	145.41	140.37
34.9847	142.53	144.17	140.37
35.1070	142.53	140.37	140.37
35.2294	142.53	137.48	140.37
35.3517	142.53	136.04	140.37
35.4740	142.53	134.60	140.37
35.5963	142.53	134.60	140.79
35.7187	142.53	134.60	141.00
35.8410	142.53	135.32	141.21
35.9633	142.53	136.04	141.41
36.0856	142.53	138.93	141.62
36.2080	142.53	139.65	141.72
36.3303	142.53	139.65	141.72
36.4526	142.53	139.65	141.29
36.5749	142.53	139.65	141.09
36.6972	142.53	138.93	140.88
36.8196	142.53	136.76	140.68
36.9419	142.53	133.16	140.47
37.0642	142.53	131.00	140.37
37.1865	142.53	130.28	140.37
37.3089	142.53	130.28	140.37
37.4312	142.53	130.28	140.37
37.5535	142.53	131.72	140.37
37.6758	142.53	135.32	140.37
37.7982	142.53	136.76	140.37
37.9205	142.53	136.76	140.37
38.0428	142.53	136.76	140.37
38.1651	142.53	136.76	140.37
38.2875	142.53	136.76	140.37
38.4098	142.53	132.44	140.37
38.5321	142.53	131.00	140.37
38.6544	142.53	130.28	140.37
38.7768	142.53	130.28	140.79
38.8991	142.53	130.28	141.22
39.0214	142.53	130.28	141.65
39.1437	142.53	133.16	142.07
39.2661	142.53	136.04	142.07
39.3884	142.53	136.76	142.07
39.5107	142.53	136.76	142.07
39.6330	142.53	136.76	141.65
39.7554	142.53	136.76	141.22
39.8777	142.53	136.04	140.79
40.0000	142.53	131.72	140.37
40.1223	142.53	131.72	140.37
40.2446	142.53	131.72	140.37
40.3670	142.53	131.72	140.37
40.4893	142.53	133.88	140.79
40.6116	142.53	136.04	141.22
40.7339	142.53	139.65	141.65
40.8563	142.53	139.65	142.07
40.9786	142.53	139.65	142.07
41.1009	142.53	139.65	142.07
41.2232	142.53	139.65	142.07
41.3456	142.53	139.65	141.65
41.4679	142.53	136.76	141.22
41.5902	142.53	134.60	140.79
41.7125	142.53	131.72	140.37
41.8349	142.53	131.72	140.37
41.9572	142.53	131.72	140.37
42.0795	142.53	131.72	140.37
42.2018	142.53	131.72	140.37
42.3242	142.53	131.72	140.37
42.4465	142.53	131.72	140.37
42.5688	142.53	131.72	140.37
42.6911	142.53	131.72	140.47
42.8135	142.53	131.72	140.57
42.9358	142.53	132.44	141.00
43.0581	142.53	133.88	141.43
43.1804	142.53	135.32	141.85
43.3028	142.53	136.76	142.28
43.4251	142.53	139.65	142.71
43.5474	142.53	139.65	142.81
43.6697	142.53	139.65	142.91
43.7920	142.53	139.65	142.69
43.9144	142.53	140.37	142.47
44.0367	142.53	138.20	142.35
44.1590	142.53	133.16	142.24
44.2813	142.53	129.55	142.12
44.4037	142.53	125.95	142.22
44.5260	142.53	125.23	142.32
44.6483	142.53	125.23	142.43
44.7706	142.53	125.23	142.65
44.8930	142.53	125.23	142.76
45.0153	142.53	129.55	142.88
45.1376	142.53	132.44	143.00
45.2599	142.53	136.04	143.12
45.3823	142.53	141.09	143.23
45.5046	142.53	141.81	143.35
45.6269	142.53	141.81	143.35
45.7492	142.53	141.81	143.13
45.8716	142.53	140.37	142.91
45.9939	142.53	137.48	142.69
46.1162	142.53	136.04	142.47
46.2385	142.53	133.16	142.25
46.3609	142.53	133.16	142.03
46.4832	142.53	133.16	141.81
46.6055	142.53	133.16	142.03
46.7278	142.53	136.04	142.25
46.8502	142.53	139.65	142.47
46.9725	142.53	140.37	142.69
47.0948	142.53	140.37	142.59
47.2171	142.53	140.37	142.48
47.3394	142.53	141.09	142.28
47.4618	142.53	137.48	141.85
47.5841	142.53	134.60	141.43
47.7064	142.53	131.72	141.00
47.8287	142.53	131.72	140.57
47.9511	142.53	131.72	140.47
48.0734	142.53	131.72	140.37
48.1957	142.53	132.44	140.37
48.3180	142.53	135.32	140.37
48.4404	142.53	136.04	140.37
48.5627	142.53	137.48	140.37
48.6850	142.53	138.93	140.37
48.8073	142.53	139.65	140.37
48.9297	142.53	139.65	140.37
49.0520	142.53	139.65	140.37
49.1743	142.53	139.65	140.37
49.2966	142.53	139.65	140.37
