170.001 40.12	0.00	00.00	0.00	0.00	00.00	00.0	3	00.0
236.654	34.22	2.20	75.19	7.86	6.45	50.76	67.5	3	21.2
237.053	34.27	2.19	74.88	7.84	6.42	50.36	67.3	3	21.2
237.452	34.26	2.19	74.93	7.81	6.45	50.38	67.2	3	21.2
237.851	34.33	2.20	75.47	7.85	6.44	50.53	67.0	3	21.2
238.250	34.27	2.20	75.35	7.88	6.42	50.63	67.2	3	21.2
238.649	34.30	2.19	75.27	7.85	6.42	50.34	66.9	3	21.2
239.048	34.26	2.19	75.18	7.83	6.46	50.61	67.3	3	21.2
239.447	34.42	2.19	75.47	7.85	6.42	50.42	66.8	3	21.2
239.846	34.38	2.20	75.76	7.85	6.46	50.70	66.9	3	21.2
240.245	34.28	2.19	75.19	7.84	6.45	50.58	67.3	3	21.2
240.644	34.30	2.20	75.30	7.85	6.43	50.49	67.0	3	21.2
241.043	34.28	2.19	75.11	7.85	6.44	50.59	67.3	3	21.2
241.442	34.40	2.19	75.44	7.81	6.48	50.61	67.1	3	21.2
241.841	34.40	2.19	75.46	7.83	6.44	50.39	66.8	3	21.2
242.240	34.47	2.20	75.70	7.84	6.44	50.44	66.6	3	21.2
242.639	34.38	2.19	75.38	7.86	6.46	50.75	67.3	3	21.2
243.038	34.39	2.19	75.25	7.83	6.44	50.47	67.1	3	21.2
243.437	34.34	2.19	75.30	7.86	6.45	50.67	67.3	3	21.2
