66.552	39.86	0.00	00.00	0.00	0.00	00.00   00.0	1	0
84.443	29.54	4.43	130.94	10.37	9.45	97.93	74.8	1	29.8
84.843	28.95	4.50	130.17	10.37	9.47	98.14	75.4	1	29.8
85.243	29.40	4.46	131.10	10.33	9.46	97.79	74.6	1	30.0
85.643	28.84	4.53	130.68	10.31	9.46	97.45	74.6	1	30.0
86.043	28.87	4.55	131.22	10.32	9.44	97.38	74.2	1	30.0
86.443	29.29	4.48	131.30	10.35	9.47	97.99	74.6	1	29.7
86.843	29.58	4.45	131.62	10.37	9.43	97.77	74.3	1	29.5
87.243	29.71	4.41	131.12	10.37	9.45	97.95	74.7	1	29.7
87.643	29.09	4.52	131.51	10.33	9.49	97.97	74.5	1	30.0
88.043	28.99	4.53	131.46	10.37	9.42	97.65	74.3	1	30.4
88.443	28.76	4.54	130.48	10.35	9.47	98.04	75.1	1	29.8
88.843	29.34	4.47	131.06	10.34	9.49	98.11	74.9	1	30.0
89.243	28.85	4.55	131.28	10.35	9.45	97.79	74.5	1	30.4
89.643	28.83	4.56	131.44	10.33	9.44	97.59	74.2	1	30.0
90.043	29.13	4.51	131.41	10.37	9.46	98.10	74.7	1	30.2
90.443	28.65	4.57	131.04	10.34	9.46	97.80	74.6	1	30.0
90.843	29.33	4.47	131.13	10.33	9.47	97.85	74.6	1	29.8
91.243	28.95	4.54	131.38	10.34	9.46	97.82	74.5	1	29.8
91.643	29.00	4.54	131.54	10.36	9.43	97.62	74.2	1	29.8
92.043	29.29	4.48	131.36	10.35	9.48	98.13	74.7	1	30.0
92.443	29.44	4.47	131.56	10.37	9.47	98.26	74.7	1	29.8
92.843	29.28	4.47	130.95	10.37	9.47	98.17	75.0	1	29.8
93.243	29.47	4.47	131.62	10.36	9.47	98.11	74.5	1	29.7
93.643	29.62	4.46	132.14	10.37	9.48	98.24	74.4	1	29.8
94.043	28.92	4.53	131.03	10.34	9.45	97.66	74.5	1	30.0
94.443	28.90	4.55	131.59	10.35	9.47	98.03	74.5	1	30.0
94.843	29.08	4.52	131.54	10.34	9.45	97.66	74.2	1	30.0
95.243	29.02	4.54	131.61	10.33	9.44	97.55	74.1	1	30.0
95.643	28.77	4.59	132.05	10.35	9.45	97.78	74.0	1	30.6
96.043	28.58	4.58	130.90	10.34	9.44	97.68	74.6	1	30.2
96.443	29.24	4.51	131.84	10.38	9.45	98.05	74.4	1	29.7
96.843	29.41	4.46	131.11	10.36	9.43	97.75	74.6	1	29.8
97.243	29.45	4.49	132.24	10.34	9.46	97.77	73.9	1	29.5
97.643	29.58	4.45	131.72	10.36	9.46	97.98	74.4	1	29.8
98.043	29.13	4.53	131.92	10.34	9.43	97.53	73.9	1	30.2
98.443	29.17	4.50	131.25	10.35	9.45	97.81	74.5	1	29.7
98.843	29.76	4.43	131.79	10.35	9.46	97.94	74.3	1	29.3
99.243	29.63	4.43	131.14	10.35	9.45	97.87	74.6	1	29.5
99.643	29.77	4.41	131.26	10.37	9.43	97.71	74.4	1	29.7
100.043	29.18	4.52	132.01	10.37	9.43	97.82	74.1	1	30.2
100.444	28.86	4.55	131.22	10.33	9.43	97.41	74.2	1	30.0
100.845	29.27	4.44	129.86	10.26	9.36	96.10	74.0	1	29.8
101.246	28.84	4.54	131.00	10.34	9.44	97.62	74.5	1	30.2
101.647	28.54	4.56	130.13	10.33	9.43	97.44	74.9	1	30.2
102.048	28.99	4.49	130.14	10.36	9.47	98.10	75.4	1	30.0
102.449	29.00	4.54	131.76	10.36	9.46	98.02	74.4	1	29.8
102.850	29.46	4.44	130.70	10.35	9.48	98.09	75.0	1	29.7
103.251	29.72	4.43	131.76	10.34	9.45	97.71	74.2	1	29.3
103.652	29.70	4.41	130.95	10.34	9.46	97.86	74.7	1	29.7
104.053	29.41	4.47	131.38	10.36	9.47	98.10	74.7	1	29.5
104.454	29.61	4.48	132.60	10.34	9.47	97.95	73.9	1	30.0
104.855	29.54	4.47	131.96	10.37	9.46	98.13	74.4	1	29.5
105.256	29.81	4.39	130.89	10.36	9.48	98.19	75.0	1	29.3
105.657	30.29	4.33	131.10	10.37	9.45	98.02	74.8	1	28.9
106.058	30.41	4.27	130.00	10.32	9.44	97.34	74.9	1	28.9
106.459	30.21	4.33	130.93	10.36	9.45	97.89	74.8	1	29.3
106.860	29.78	4.38	130.47	10.31	9.46	97.53	74.7	1	29.5
107.261	29.34	4.49	131.60	10.36	9.45	97.90	74.4	1	30.0
107.662	29.34	4.48	131.60	10.36	9.49	98.31	74.7	1	29.8
108.063	29.50	4.45	131.21	10.38	9.44	97.99	74.7	1	29.5
108.464	30.09	4.36	131.26	10.32	9.43	97.39	74.2	1	29.3
108.865	30.10	4.35	130.80	10.34	9.46	97.88	74.8	1	29.3
109.266	29.59	4.44	131.41	10.37	9.50	98.51	75.0	1	29.8
109.667	29.27	4.49	131.32	10.35	9.48	98.11	74.7	1	29.8
110.068	29.10	4.51	131.20	10.35	9.46	97.99	74.7	1	29.8
110.469	29.70	4.43	131.64	10.38	9.46	98.26	74.6	1	29.3
110.870	30.29	4.34	131.60	10.36	9.44	97.89	74.4	1	29.3
111.271	29.39	4.48	131.66	10.35	9.47	97.94	74.4	1	29.8
111.672	29.37	4.49	131.80	10.38	9.48	98.42	74.7	1	29.8
112.073	29.30	4.44	129.98	10.36	9.46	98.02	75.4	1	29.5
112.474	29.03	4.53	131.54	10.34	9.46	97.81	74.4	1	30.0
112.875	28.72	4.59	131.76	10.35	9.45	97.79	74.2	1	30.4
113.276	28.32	4.62	130.79	10.34	9.42	97.43	74.5	1	30.6
113.677	28.00	4.67	130.74	10.27	9.41	96.70	74.0	1	30.9
114.078	27.65	4.71	130.29	10.26	9.38	96.19	73.8	1	31.1
114.479	27.82	4.70	130.63	10.29	9.39	96.67	74.0	1	30.7
114.880	28.40	4.62	131.12	10.34	9.45	97.69	74.5	1	30.4
115.281	28.72	4.58	131.65	10.36	9.47	98.14	74.5	1	30.4
115.682	28.79	4.56	131.40	10.36	9.46	97.99	74.6	1	30.0
116.083	28.91	4.55	131.48	10.35	9.46	97.96	74.5	1	30.2
116.484	28.81	4.56	131.46	10.36	9.44	97.86	74.4	1	30.0
116.885	28.98	4.55	132.00	10.36	9.47	98.13	74.3	1	30.0
117.286	29.35	4.49	131.90	10.39	9.44	98.10	74.4	1	29.8
117.687	29.38	4.50	132.07	10.34	9.43	97.52	73.8	1	29.8
118.088	28.92	4.56	131.88	10.37	9.45	98.01	74.3	1	30.0
118.489	29.41	4.49	132.15	10.39	9.47	98.38	74.4	1	29.8
118.890	29.36	4.49	131.92	10.38	9.45	98.16	74.4	1	29.7
119.291	29.55	4.44	131.21	10.36	9.47	98.18	74.8	1	29.7
119.692	29.51	4.47	131.99	10.36	9.46	98.05	74.3	1	29.7
120.093	29.53	4.45	131.29	10.38	9.50	98.63	75.1	1	29.7
120.494	29.07	4.53	131.70	10.36	9.48	98.21	74.6	1	30.0
120.895	29.26	4.50	131.70	10.35	9.47	98.04	74.4	1	29.8
121.296	29.27	4.51	131.94	10.37	9.46	98.11	74.4	1	30.0
121.697	29.05	4.53	131.59	10.34	9.44	97.68	74.2	1	29.8
122.098	29.34	4.50	132.18	10.36	9.46	98.01	74.1	1	29.8
122.499	29.60	4.45	131.73	10.38	9.46	98.21	74.6	1	29.5
