67.972	39.86	0.00	00.00	0.00	0.00	00.00   00.0	1	0
97.824	12.25	4.37	53.61	6.49	5.78	37.53	70.0	1	40.7
98.222	12.42	4.34	53.96	6.49	5.77	37.44	69.4	1	40.6
98.620	12.66	4.27	54.08	6.54	5.80	37.96	70.2	1	40.2
99.018	12.78	4.28	54.74	6.53	5.76	37.59	68.7	1	40.0
99.416	12.70	4.26	54.12	6.57	5.79	37.99	70.2	1	40.0
99.814	12.70	4.26	54.07	6.53	5.76	37.65	69.6	1	40.0
100.212	12.51	4.31	53.86	6.54	5.78	37.80	70.2	1	40.4
100.611	12.36	4.38	54.14	6.50	5.76	37.45	69.2	1	40.9
101.010	12.56	4.34	54.47	6.55	5.77	37.81	69.4	1	40.2
101.409	12.62	4.32	54.58	6.52	5.75	37.54	68.8	1	40.6
101.808	12.55	4.30	53.96	6.54	5.80	37.95	70.3	1	40.2
102.207	12.56	4.31	54.17	6.53	5.79	37.79	69.8	1	40.2
102.606	12.76	4.23	54.01	6.54	5.78	37.78	69.9	1	39.7
103.005	12.80	4.21	53.90	6.52	5.78	37.67	69.9	1	39.7
103.404	12.95	4.20	54.41	6.53	5.81	37.92	69.7	1	39.8
103.803	12.69	4.25	53.91	6.53	5.82	38.01	70.5	1	40.0
104.202	12.71	4.24	53.90	6.55	5.78	37.86	70.2	1	40.0
104.601	12.65	4.30	54.38	6.54	5.80	37.96	69.8	1	40.4
105.000	12.64	4.31	54.51	6.53	5.78	37.76	69.3	1	40.0
105.399	12.66	4.30	54.39	6.52	5.83	38.00	69.9	1	40.0
105.798	12.87	4.22	54.33	6.55	5.80	37.98	69.9	1	39.7
106.197	12.77	4.20	53.65	6.52	5.83	37.97	70.8	1	39.7
106.596	12.90	4.17	53.84	6.54	5.80	37.94	70.5	1	39.5
106.995	12.88	4.19	53.92	6.55	5.82	38.14	70.7	1	39.5
107.394	12.95	4.17	53.99	6.54	5.83	38.15	70.7	1	39.7
107.793	12.86	4.21	54.15	6.54	5.84	38.19	70.5	1	39.8
108.192	12.76	4.21	53.74	6.55	5.84	38.28	71.2	1	39.5
108.591	13.04	4.10	53.49	6.52	5.85	38.14	71.3	1	39.3
108.990	12.86	4.20	53.94	6.53	5.79	37.79	70.1	1	39.8
109.389	12.62	4.28	54.07	6.55	5.81	38.05	70.4	1	40.2
109.788	12.70	4.23	53.73	6.56	5.78	37.93	70.6	1	40.0
110.187	12.69	4.27	54.18	6.52	5.79	37.74	69.7	1	40.0
110.586	12.84	4.21	54.09	6.54	5.80	37.89	70.1	1	39.5
110.985	12.99	4.18	54.36	6.57	5.82	38.22	70.3	1	39.5
111.384	13.00	4.16	54.10	6.54	5.80	37.93	70.1	1	39.3
111.783	13.13	4.11	54.02	6.55	5.79	37.94	70.2	1	39.1
112.182	13.11	4.13	54.17	6.56	5.81	38.15	70.4	1	39.3
112.581	13.11	4.10	53.79	6.57	5.82	38.20	71.0	1	39.1
112.980	13.13	4.10	53.87	6.53	5.79	37.80	70.2	1	38.9
113.379	13.08	4.09	53.54	6.56	5.84	38.33	71.6	1	38.9
113.778	13.26	4.10	54.31	6.55	5.79	37.94	69.9	1	39.1
114.177	13.20	4.08	53.88	6.54	5.83	38.09	70.7	1	38.9
114.576	13.32	4.10	54.58	6.54	5.81	38.03	69.7	1	39.1
114.975	13.17	4.09	53.92	6.56	5.82	38.23	70.9	1	38.9
